time,x,y,z
4.38,-0.620464,-0.0501408,780.629
4.39,-0.606116,-0.0653838,782.219
4.4,-0.590941,-0.0806231,783.806
4.41,-0.574963,-0.0958501,785.392
4.42,-0.558209,-0.111056,786.977
4.43,-0.540707,-0.126231,788.559
4.44,-0.522487,-0.141365,790.14
4.45,-0.503579,-0.156448,791.719
4.46,-0.484014,-0.171467,793.296
4.47,-0.463825,-0.186412,794.872
4.48,-0.443045,-0.201268,796.445
4.49,-0.421708,-0.216024,798.017
4.5,-0.399848,-0.230666,799.587
4.51,-0.377502,-0.245178,801.154
4.52,-0.354705,-0.259546,802.72
4.53,-0.331494,-0.273755,804.284
4.54,-0.307905,-0.287788,805.846
4.55,-0.283976,-0.301628,807.406
4.56,-0.259745,-0.315259,808.964
4.57,-0.235249,-0.328663,810.52
4.58,-0.210526,-0.341821,812.074
4.59,-0.185613,-0.354716,813.625
4.6,-0.160549,-0.367329,815.175
4.61,-0.13537,-0.37964,816.723
4.62,-0.110115,-0.391629,818.269
4.63,-0.08482,-0.403278,819.813
4.64,-0.0595215,-0.414566,821.354
4.65,-0.0342559,-0.425472,822.894
4.66,-0.00905877,-0.435977,824.432
4.67,0.0160349,-0.446061,825.968
4.68,0.0409907,-0.455703,827.502
4.69,0.0657751,-0.464882,829.034
4.7,0.0903552,-0.47358,830.564
4.71,0.114699,-0.481774,832.092
4.72,0.138776,-0.489447,833.618
4.73,0.162555,-0.496578,835.143
4.74,0.186007,-0.503148,836.665
4.75,0.209105,-0.509138,838.186
4.76,0.231821,-0.51453,839.705
4.77,0.254129,-0.519307,841.222
4.78,0.276005,-0.52345,842.738
4.79,0.297426,-0.526944,844.252
4.8,0.318369,-0.529772,845.764
4.81,0.338812,-0.531919,847.275
4.82,0.358737,-0.533372,848.784
4.83,0.378124,-0.534116,850.291
4.84,0.396958,-0.534138,851.798
4.85,0.415221,-0.533429,853.302
4.86,0.432899,-0.531976,854.806
4.87,0.449979,-0.52977,856.308
4.88,0.466449,-0.526804,857.808
4.89,0.482298,-0.52307,859.308
4.9,0.497518,-0.518563,860.806
4.91,0.5121,-0.513277,862.303
4.92,0.526037,-0.507209,863.799
4.93,0.539323,-0.500358,865.293
4.94,0.551956,-0.492723,866.787
4.95,0.56393,-0.484304,868.28
4.96,0.575245,-0.475105,869.772
4.97,0.5859,-0.465128,871.263
4.98,0.595895,-0.454379,872.753
4.99,0.605231,-0.442865,874.242
5,0.613911,-0.430593,875.731
5.01,0.621938,-0.417575,877.219
5.02,0.629316,-0.40382,878.706
5.03,0.636052,-0.389341,880.192
5.04,0.642151,-0.374154,881.678
5.05,0.647619,-0.358273,883.164
5.06,0.652465,-0.341716,884.649
5.07,0.656697,-0.324502,886.133
5.08,0.660324,-0.30665,887.617
5.09,0.663356,-0.288183,889.101
5.1,0.665803,-0.269124,890.585
5.11,0.667675,-0.249497,892.068
5.12,0.668984,-0.229328,893.551
5.13,0.669741,-0.208644,895.033
5.14,0.669959,-0.187474,896.516
5.15,0.669649,-0.165846,897.998
5.16,0.668823,-0.143792,899.48
5.17,0.667495,-0.121344,900.962
5.18,0.665677,-0.0985343,902.444
5.19,0.663382,-0.0753972,903.926
5.2,0.660623,-0.0519675,905.408
5.21,0.657412,-0.028281,906.889
5.22,0.653763,-0.00437413,908.371
5.23,0.649688,0.0197157,909.853
5.24,0.645199,0.0439506,911.335
5.25,0.64031,0.068292,912.816
5.26,0.635031,0.092701,914.298
5.27,0.629376,0.117138,915.78
5.28,0.623356,0.141563,917.262
5.29,0.616982,0.165937,918.744
5.3,0.610265,0.190218,920.226
5.31,0.603216,0.214367,921.709
5.32,0.595845,0.238343,923.191
5.33,0.588163,0.262106,924.673
5.34,0.580178,0.285616,926.155
5.35,0.571899,0.308833,927.638
5.36,0.563336,0.331717,929.12
5.37,0.554496,0.35423,930.602
5.38,0.545387,0.376332,932.085
5.39,0.536017,0.397985,933.567
5.4,0.526392,0.419153,935.049
5.41,0.516518,0.439799,936.532
5.42,0.506402,0.459886,938.014
5.43,0.49605,0.47938,939.496
5.44,0.485465,0.498248,940.978
5.45,0.474654,0.516455,942.459
5.46,0.463619,0.533971,943.941
5.47,0.452366,0.550765,945.422
5.48,0.440898,0.566807,946.903
5.49,0.429218,0.58207,948.384
5.5,0.417329,0.596528,949.864
5.51,0.405234,0.610154,951.344
5.52,0.392936,0.622926,952.824
5.53,0.380436,0.634822,954.303
5.54,0.367738,0.645821,955.782
5.55,0.354842,0.655903,957.26
5.56,0.341751,0.665053,958.737
5.57,0.328467,0.673254,960.214
5.58,0.314992,0.680494,961.691
5.59,0.301327,0.686759,963.166
5.6,0.287475,0.69204,964.641
5.61,0.273437,0.696329,966.115
5.62,0.259215,0.699619,967.588
5.63,0.244813,0.701905,969.061
5.64,0.230232,0.703185,970.532
5.65,0.215475,0.703457,972.002
5.66,0.200546,0.702722,973.472
5.67,0.185447,0.700984,974.94
5.68,0.170183,0.698245,976.407
5.69,0.154758,0.694513,977.873
5.7,0.139177,0.689796,979.338
5.71,0.123444,0.684103,980.801
5.72,0.107565,0.677446,982.263
5.73,0.0915464,0.669838,983.724
5.74,0.075395,0.661293,985.184
5.75,0.0591179,0.651829,986.642
5.76,0.0427232,0.641462,988.098
5.77,0.0262192,0.630213,989.553
5.78,0.00961539,0.618102,991.007
5.79,-0.00707851,0.605152,992.459
5.8,-0.0238519,0.591385,993.909
5.81,-0.0406934,0.576828,995.357
5.82,-0.0575912,0.561507,996.804
5.83,-0.0745325,0.545448,998.249
5.84,-0.0915038,0.52868,999.693
5.85,-0.108491,0.511232,1001.13
5.86,-0.12548,0.493135,1002.57
5.87,-0.142454,0.47442,1004.01
5.88,-0.159397,0.455118,1005.45
5.89,-0.176293,0.435264,1006.88
5.9,-0.193123,0.414889,1008.31
5.91,-0.20987,0.394028,1009.74
5.92,-0.226514,0.372716,1011.17
5.93,-0.243037,0.350987,1012.6
5.94,-0.259417,0.328876,1014.02
5.95,-0.275635,0.306418,1015.45
5.96,-0.291669,0.28365,1016.87
5.97,-0.307497,0.260607,1018.28
5.98,-0.323098,0.237324,1019.7
5.99,-0.338449,0.213837,1021.12
6,-0.353528,0.190182,1022.53
6.01,-0.36831,0.166393,1023.94
6.02,-0.382773,0.142506,1025.35
6.03,-0.396893,0.118555,1026.75
6.04,-0.410646,0.0945747,1028.16
6.05,-0.424009,0.0705983,1029.56
